date,day_of_week,month,ward_occupancy,icu_occupancy
2025-06-01,6,6,16,1
2025-06-02,0,6,24,3
2025-06-03,1,6,26,3
2025-06-04,2,6,29,3
2025-06-05,3,6,24,2
2025-06-06,4,6,24,3
2025-06-07,5,6,19,3
2025-06-08,6,6,17,4
2025-06-09,0,6,23,4
2025-06-10,1,6,26,6
2025-06-11,2,6,23,2
2025-06-12,3,6,23,4
2025-06-13,4,6,25,3
2025-06-14,5,6,10,5
2025-06-15,6,6,10,1
2025-06-16,0,6,23,2
2025-06-17,1,6,21,2
2025-06-18,2,6,25,1
2025-06-19,3,6,22,2
2025-06-20,4,6,20,2
2025-06-21,5,6,19,2
2025-06-22,6,6,14,3
2025-06-23,0,6,25,6
2025-06-24,1,6,20,4
2025-06-25,2,6,23,2
2025-06-26,3,6,25,2
2025-06-27,4,6,21,4
2025-06-28,5,6,16,1
2025-06-29,6,6,13,5
2025-06-30,0,6,24,5
2025-07-01,1,7,23,2
2025-07-02,2,7,30,1
2025-07-03,3,7,24,5
2025-07-04,4,7,21,3
2025-07-05,5,7,17,4
2025-07-06,6,7,11,1
2025-07-07,0,7,25,2
2025-07-08,1,7,19,3
2025-07-09,2,7,21,3
2025-07-10,3,7,25,2
2025-07-11,4,7,27,4
2025-07-12,5,7,15,1
2025-07-13,6,7,14,2
2025-07-14,0,7,24,3
2025-07-15,1,7,20,4
2025-07-16,2,7,22,4
2025-07-17,3,7,23,1
2025-07-18,4,7,28,1
2025-07-19,5,7,16,4
2025-07-20,6,7,10,2
2025-07-21,0,7,25,2
2025-07-22,1,7,23,5
2025-07-23,2,7,22,3
2025-07-24,3,7,26,5
2025-07-25,4,7,28,3
2025-07-26,5,7,17,5
2025-07-27,6,7,12,5
2025-07-28,0,7,24,3
2025-07-29,1,7,25,4
2025-07-30,2,7,27,4
2025-07-31,3,7,23,5
2025-08-01,4,8,24,2
2025-08-02,5,8,11,3
2025-08-03,6,8,11,4
2025-08-04,0,8,27,1
2025-08-05,1,8,29,1
2025-08-06,2,8,24,1
2025-08-07,3,8,28,3
2025-08-08,4,8,26,4
2025-08-09,5,8,13,4
2025-08-10,6,8,16,2
2025-08-11,0,8,29,5
2025-08-12,1,8,24,1
2025-08-13,2,8,29,1
2025-08-14,3,8,17,3
2025-08-15,4,8,27,4
2025-08-16,5,8,15,2
2025-08-17,6,8,14,1
2025-08-18,0,8,25,3
2025-08-19,1,8,19,1
2025-08-20,2,8,24,4
